1,散户也能赢,978-7-5427-2551-6,28,9999,大众出版社,王卫锋著
2,俄罗斯与全球化,978-7-5427-4440-1,78,9999,大众出版社,（俄）瓦.伊.茹科夫著
3,聚焦课改决战课堂——构建更具活力的课堂教学,978-7-5427-3552-2,44.5,9999,大众出版社,上海市徐汇区教育局  编
4,让孩子在快乐的集体中和谐发展,978-7-5427-4133-2,28,9999,大众出版社,阙奋等主编
5,用英语说中国—历史,978-7-5427-4205-6,45,9999,大众出版社,田华实 李兆平
6,用英语说中国—名校,978-7-5427-4201-8,32,9999,大众出版社,王德军
7,用英语说中国—文化,978-7-5427-4136-3,26,9999,大众出版社,王德军
8,用英语说中国—艺术,978-7-5427-4135-6,39,9999,大众出版社,田华实 仲锡
9,用英语说中国—体育,978-7-5427-4203-2,38,9999,大众出版社,"田华实,扬方"
10,用英语说中国—民俗,978-7-5427-4202-5,32,9999,大众出版社,"刘飞,李凯平"
11,用英语说中国—旅游,978-7-5427-4100-4,36,9999,大众出版社,"李兆平,仲锡"
12,用英语说中国名人,978-7-5427-4134-9,26,9999,大众出版社,崔艳菊，方青卫主编
13,用英语说中国名城,978-7-5427-4052-6,32,9999,大众出版社,"仲锡,李兆平主编"
14,现代校长的思考与实践,978-7-5427-2031-3,25,9999,大众出版社,金哲民主编
15,用英语说中国：经济,978-7-5427-4419-7,39.8,9999,大众出版社,田华实，徐静良主编
16,用英语说中国：科技,978-7-5427-4420-3,36,9999,大众出版社,王德军，纪小军主编
17,用英语说中国：影视,978-7-5427-4434-0,45,9999,大众出版社,"贾冰,王敏华主编"
18,中小学品德评语实用手册,7-5427-2545-9,16,9999,大众出版社,姚子明
19,世界很平我不平——270天的创新创业青春探险,978-7-5427-3809-7,65,9999,大众出版社,（台）时代基会等编
20,良言诤语,7-5427-2332-4,35,9999,大众出版社,周桂强  主编
21,解读性格密码,978-7-5427-4177-6,12,9999,大众出版社,（日）诧摩武峻
22,引导激励孩子的技巧操作与例解,978-7-5427-3760-1,9.8,9999,大众出版社,杨静平著
23,八荣八耻三字经,978-7-5427-4081-6,12,9999,大众出版社,周桂强
24,感谢我们的对手,978-7-5427-4055-7,29.8,9999,大众出版社,石赟
25,人生箴言录,978-7-5427-3942-1,25,9999,大众出版社,关玉国
26,香港自由行全攻略,978-7-5427-3547-8,29,9999,大众出版社,贾谨毅  等编著
27,旅游文化赏析（上、下册）,978-7-5427-3550-8,35,9999,大众出版社,黄祥康　编著
28,上海城区交通图(2009修订版),978-7-5427-3111-1,6,9999,大众出版社,上海市测绘院　编
29,上海市郊道路交通图(第五版),978-7-5427-2151-8,5,9999,大众出版社,上海市测绘院　编
30,上海旅游休闲地图,7-5427-2976-4,5,9999,大众出版社,上海市测绘院　编
31,上海市郊旅游交通图,978-7-5427-3868-4,12,9999,大众出版社,上海市测绘院
32,象棋13冠军残局飞镖,978-7-5427-4008-3,19,9999,大众出版社,万安平
33,攀岩(另类休闲系列),7-5427-3048-7,20,9999,大众出版社,李卫锋
